사용일자,노선명,역명,승차 총승객,하차 총승객,등록일자
"""20221019""","""4호선""","""명동""","""27787""","""29387""","""20221022""",""""""
"""20221020""","""4호선""","""명동""","""28034""","""29481""","""20221023""",""""""
"""20221021""","""4호선""","""명동""","""29714""","""31857""","""20221024""",""""""
"""20221022""","""4호선""","""명동""","""28115""","""30639""","""20221025""",""""""
"""20221023""","""4호선""","""명동""","""20285""","""22062""","""20221026""",""""""
"""20221024""","""4호선""","""명동""","""27639""","""28022""","""20221027""",""""""
"""20221025""","""4호선""","""명동""","""27826""","""27341""","""20221028""",""""""
"""20221026""","""4호선""","""명동""","""28685""","""29795""","""20221029""",""""""
"""20221027""","""4호선""","""명동""","""29046""","""30329""","""20221030""",""""""
"""20221028""","""4호선""","""명동""","""30098""","""31997""","""20221031""",""""""
"""20221029""","""4호선""","""명동""","""29456""","""32301""","""20221101""",""""""
"""20221030""","""4호선""","""명동""","""20737""","""22672""","""20221102""",""""""
"""20221031""","""4호선""","""명동""","""25555""","""26499""","""20221103""",""""""
"""20221001""","""과천선""","""범계""","""22326""","""22007""","""20221004""",""""""
"""20221002""","""과천선""","""범계""","""16612""","""16457""","""20221005""",""""""
"""20221003""","""과천선""","""범계""","""13336""","""13125""","""20221006""",""""""
"""20221004""","""과천선""","""범계""","""27817""","""28147""","""20221007""",""""""
"""20221005""","""과천선""","""범계""","""28614""","""29073""","""20221008""",""""""
"""20221006""","""과천선""","""범계""","""29132""","""29594""","""20221009""",""""""
"""20221007""","""과천선""","""범계""","""31421""","""32547""","""20221010""",""""""
"""20221008""","""과천선""","""범계""","""24632""","""23903""","""20221011""",""""""
"""20221009""","""과천선""","""범계""","""15360""","""15532""","""20221012""",""""""
"""20221010""","""과천선""","""범계""","""15600""","""15309""","""20221013""",""""""
"""20221011""","""과천선""","""범계""","""28301""","""28718""","""20221014""",""""""
"""20221012""","""과천선""","""범계""","""28700""","""29072""","""20221015""",""""""
"""20221013""","""과천선""","""범계""","""29206""","""29448""","""20221016""",""""""
"""20221014""","""과천선""","""범계""","""30445""","""31387""","""20221017""",""""""
"""20221015""","""과천선""","""범계""","""24113""","""23847""","""20221018""",""""""
"""20221016""","""과천선""","""범계""","""16517""","""16037""","""20221019""",""""""
"""20221017""","""과천선""","""범계""","""27198""","""27385""","""20221020""",""""""
"""20221018""","""과천선""","""범계""","""28819""","""29047""","""20221021""",""""""
"""20221019""","""과천선""","""범계""","""28914""","""29200""","""20221022""",""""""
"""20221020""","""과천선""","""범계""","""30088""","""30529""","""20221023""",""""""
"""20221021""","""과천선""","""범계""","""31854""","""32916""","""20221024""",""""""
"""20221022""","""과천선""","""범계""","""24120""","""23698""","""20221025""",""""""
"""20221023""","""과천선""","""범계""","""17110""","""16492""","""20221026""",""""""
"""20221024""","""과천선""","""범계""","""27697""","""27949""","""20221027""",""""""
"""20221025""","""과천선""","""범계""","""28757""","""31163""","""20221028""",""""""
"""20221026""","""과천선""","""범계""","""29204""","""29900""","""20221029""",""""""
"""20221027""","""과천선""","""범계""","""28655""","""28923""","""20221030""",""""""
"""20221028""","""과천선""","""범계""","""31222""","""32615""","""20221031""",""""""
"""20221029""","""과천선""","""범계""","""24441""","""24105""","""20221101""",""""""
"""20221030""","""과천선""","""범계""","""16522""","""16098""","""20221102""",""""""
"""20221031""","""과천선""","""범계""","""27627""","""27825""","""20221103""",""""""
"""20221001""","""분당선""","""수원""","""8385""","""7408""","""20221004""",""""""
"""20221001""","""경부선""","""수원""","""42789""","""47237""","""20221004""",""""""
"""20221002""","""경부선""","""수원""","""37513""","""38088""","""20221005""",""""""
"""20221002""","""분당선""","""수원""","""6678""","""5918""","""20221005""",""""""
"""20221003""","""분당선""","""수원""","""5290""","""4681""","""20221006""",""""""
"""20221003""","""경부선""","""수원""","""31832""","""30525""","""20221006""",""""""
"""20221004""","""분당선""","""수원""","""8605""","""7462""","""20221007""",""""""
"""20221004""","""경부선""","""수원""","""38411""","""40541""","""20221007""",""""""
"""20221005""","""경부선""","""수원""","""39002""","""41217""","""20221008""",""""""
"""20221005""","""분당선""","""수원""","""8971""","""7742""","""20221008""",""""""
"""20221006""","""경부선""","""수원""","""39788""","""42122""","""20221009""",""""""
"""20221006""","""분당선""","""수원""","""8999""","""7706""","""20221009""",""""""
"""20221007""","""경부선""","""수원""","""43596""","""47619""","""20221010""",""""""
"""20221007""","""분당선""","""수원""","""9645""","""8809""","""20221010""",""""""
"""20221008""","""분당선""","""수원""","""8297""","""7352""","""20221011""",""""""
"""20221008""","""경부선""","""수원""","""45688""","""51022""","""20221011""",""""""
"""20221009""","""경부선""","""수원""","""36547""","""35936""","""20221012""",""""""
"""20221009""","""분당선""","""수원""","""6542""","""5531""","""20221012""",""""""
"""20221010""","""경부선""","""수원""","""34283""","""32864""","""20221013""",""""""
"""20221010""","""분당선""","""수원""","""5784""","""4996""","""20221013""",""""""
"""20221011""","""경부선""","""수원""","""39811""","""41589""","""20221014""",""""""
"""20221011""","""분당선""","""수원""","""8749""","""7695""","""20221014""",""""""
"""20221012""","""분당선""","""수원""","""8713""","""7730""","""20221015""",""""""
"""20221012""","""경부선""","""수원""","""38585""","""41143""","""20221015""",""""""
"""20221013""","""경부선""","""수원""","""39311""","""41952""","""20221016""",""""""
"""20221013""","""분당선""","""수원""","""9249""","""7838""","""20221016""",""""""
"""20221014""","""분당선""","""수원""","""9628""","""8503""","""20221017""",""""""
"""20221014""","""경부선""","""수원""","""42007""","""45834""","""20221017""",""""""
"""20221015""","""분당선""","""수원""","""8400""","""7121""","""20221018""",""""""
"""20221015""","""경부선""","""수원""","""43000""","""47202""","""20221018""",""""""
"""20221016""","""분당선""","""수원""","""6381""","""5678""","""20221019""",""""""
"""20221001""","""분당선""","""영통""","""7888""","""7422""","""20221004""",""""""
"""20221002""","""분당선""","""영통""","""5502""","""5554""","""20221005""",""""""
"""20221003""","""분당선""","""영통""","""4541""","""4859""","""20221006""",""""""
"""20221004""","""분당선""","""영통""","""9494""","""9775""","""20221007""",""""""
"""20221005""","""분당선""","""영통""","""9735""","""9911""","""20221008""",""""""
"""20221006""","""분당선""","""영통""","""9792""","""9908""","""20221009""",""""""
"""20221007""","""분당선""","""영통""","""10656""","""10467""","""20221010""",""""""
"""20221008""","""분당선""","""영통""","""7633""","""7393""","""20221011""",""""""
"""20221009""","""분당선""","""영통""","""4946""","""5070""","""20221012""",""""""
"""20221010""","""분당선""","""영통""","""4762""","""5015""","""20221013""",""""""
"""20221011""","""분당선""","""영통""","""9401""","""9914""","""20221014""",""""""
"""20221012""","""분당선""","""영통""","""9545""","""9635""","""20221015""",""""""
"""20221013""","""분당선""","""영통""","""10191""","""10176""","""20221016""",""""""
"""20221014""","""분당선""","""영통""","""10247""","""10465""","""20221017""",""""""
"""20221015""","""분당선""","""영통""","""7724""","""7436""","""20221018""",""""""
"""20221016""","""분당선""","""영통""","""5602""","""5598""","""20221019""",""""""
"""20221017""","""분당선""","""영통""","""9196""","""9512""","""20221020""",""""""
"""20221018""","""분당선""","""영통""","""9250""","""9354""","""20221021""",""""""
"""20221019""","""분당선""","""영통""","""9520""","""9481""","""20221022""",""""""
"""20221020""","""분당선""","""영통""","""9657""","""9629""","""20221023""",""""""
"""20221021""","""분당선""","""영통""","""10103""","""10079""","""20221024""",""""""
"""20221022""","""분당선""","""영통""","""7850""","""7878""","""20221025""",""""""
"""20221023""","""분당선""","""영통""","""5271""","""5179""","""20221026""",""""""
"""20221024""","""분당선""","""영통""","""9106""","""9389""","""20221027""",""""""
"""20221025""","""분당선""","""영통""","""9367""","""9582""","""20221028""",""""""
"""20221026""","""분당선""","""영통""","""9740""","""9709""","""20221029""",""""""
"""20221027""","""분당선""","""영통""","""9936""","""9967""","""20221030""",""""""
"""20221028""","""분당선""","""영통""","""10700""","""10682""","""20221031""",""""""
"""20221029""","""분당선""","""영통""","""7998""","""7789""","""20221101""",""""""
"""20221030""","""분당선""","""영통""","""5552""","""5737""","""20221102""",""""""
"""20221031""","""분당선""","""영통""","""9247""","""9409""","""20221103""",""""""
"""20221001""","""경부선""","""의왕""","""6578""","""6235""","""20221004""",""""""
"""20221002""","""경부선""","""의왕""","""4666""","""4536""","""20221005""",""""""
"""20221003""","""경부선""","""의왕""","""3856""","""4014""","""20221006""",""""""
"""20221004""","""경부선""","""의왕""","""9778""","""9900""","""20221007""",""""""
"""20221005""","""경부선""","""의왕""","""10408""","""10166""","""20221008""",""""""
"""20221006""","""경부선""","""의왕""","""10275""","""10149""","""20221009""",""""""
